pair_id,imageA,imageB,dimension
1,sampled_images/109720_108.894_34.2904_90_0.png,sampled_images/22898_109.004_34.3976_90_0.png,Greenery
2,sampled_images/109563_109.029_34.3233_90_0.png,sampled_images/109705_108.845_34.3292_90_0.png,Greenery
3,sampled_images/16632_108.93_34.1404_90_0.png,sampled_images/63285_108.975_34.2043_90_0.png,Greenery
4,sampled_images/34951_108.87_34.2073_90_0.png,sampled_images/78236_108.89_34.1994_90_0.png,Greenery
5,sampled_images/63628_108.918_34.2889_90_0.png,sampled_images/81227_108.943_34.3792_90_0.png,Greenery
6,sampled_images/103276_108.926_34.1893_90_0.png,sampled_images/53792_109.01_34.2707_90_0.png,Greenery
7,sampled_images/109569_109.034_34.3219_90_0.png,sampled_images/8152_109.059_34.2691_90_0.png,Greenery
8,sampled_images/261_108.938_34.2608_270_0.png,sampled_images/288_108.862_34.3524_270_0.png,Greenery
9,sampled_images/101390_108.876_34.2712_90_0.png,sampled_images/22906_108.812_34.1648_90_0.png,Greenery
10,sampled_images/29440_108.837_34.28_90_0.png,sampled_images/88851_109.049_34.2245_90_0.png,Greenery
11,sampled_images/103745_108.942_34.259_90_0.png,sampled_images/27107_109.05_34.2365_90_0.png,Greenery
12,sampled_images/25300_108.952_34.2038_90_0.png,sampled_images/76546_108.981_34.2167_90_0.png,Greenery
13,sampled_images/77716_108.826_34.1252_90_0.png,sampled_images/84047_108.97_34.1583_90_0.png,Greenery
14,sampled_images/54965_108.976_34.4056_90_0.png,sampled_images/62396_108.945_34.1741_90_0.png,Greenery
15,sampled_images/9116_109.042_34.3178_90_0.png,sampled_images/93620_108.977_34.3796_90_0.png,Greenery
16,sampled_images/31456_109.003_34.2442_90_0.png,sampled_images/35562_109.012_34.3487_90_0.png,Greenery
17,sampled_images/103723_108.935_34.2524_90_0.png,sampled_images/89483_108.962_34.3898_90_0.png,Greenery
18,sampled_images/10766_109.073_34.2973_90_0.png,sampled_images/23993_108.868_34.1294_90_0.png,Greenery
19,sampled_images/102236_108.865_34.2541_90_0.png,sampled_images/25602_108.922_34.3883_90_0.png,Greenery
20,sampled_images/25279_108.899_34.2183_90_0.png,sampled_images/51089_109.042_34.2522_90_0.png,Greenery
21,sampled_images/27338_108.992_34.2586_90_0.png,sampled_images/85380_108.892_34.2067_90_0.png,Greenery
22,sampled_images/22906_108.812_34.1648_90_0.png,sampled_images/61272_108.956_34.1636_90_0.png,Greenery
